Rank,Name,Name,Symbol,Mkt Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
360,ORCAOrca,Orca,ORCA,"$139.09M$139,091,607",$2.78,"49,990,352 ORCA *","$3,721,015",-2.24%,-1.75%,17.58%
361,USDPPax Dollar,Pax Dollar,USDP,"$139.03M$139,030,907",$1.00,"138,777,747 USDP *","$1,899,204",0.00%,0.09%,0.12%
362,ORAIOraichain,Oraichain,ORAI,"$138.65M$138,650,828",$10.91,"12,706,080 ORAI *","$4,796,033",-0.08%,-1.00%,-3.47%
363,CQTCovalent,Covalent,CQT,"$137.81M$137,810,531",$0.2007,"686,658,970 CQT *","$1,241,165",-0.46%,3.23%,-9.21%
364,DENTDent,Dent,DENT,"$137.24M$137,243,068",$0.001372,"100,000,000,000 DENT *","$5,007,109",-0.94%,0.93%,5.34%
365,HONEYHivemapper,Hivemapper,HONEY,"$137.11M$137,112,758",$0.1047,"1,309,796,872 HONEY *","$1,240,811",0.34%,-1.56%,3.68%
366,WZRDBitcoin Wizards,Bitcoin Wizards,WZRD,"$136.87M$136,865,464",$6.52,"21,000,000 WZRD *","$1,251,674",-5.27%,-9.26%,-16.93%
367,MAVIAHeroes of Mavia,Heroes of Mavia,MAVIA,"$136.63M$136,626,136",$4.55,"30,000,396 MAVIA *","$65,109,779",6.64%,7.20%,55.49%
368,PEOPLEConstitutionDAO,ConstitutionDAO,PEOPLE,"$136.55M$136,545,931",$0.02698,"5,060,137,335 PEOPLE *","$40,384,661",-0.90%,3.01%,11.59%
369,MRSMetars Genesis,Metars Genesis,MRS,"$135.85M$135,851,084",$1.61,"84,235,303 MRS *","$107,305",-0.26%,0.67%,1.59%
370,XYMSymbol,Symbol,XYM,"$135.11M$135,106,240",$0.02295,"5,887,603,684 XYM *","$340,572",-0.06%,-1.63%,-0.72%
371,OASOasys,Oasys,OAS,"$134.63M$134,632,274",$0.06472,"2,080,304,978 OAS *","$1,039,990",0.56%,-3.48%,-0.57%
372,ZENHorizen,Horizen,ZEN,"$134.61M$134,607,385",$9.02,"14,923,381 ZEN","$7,754,224",-0.84%,1.59%,4.73%
373,HOOKHooked Protocol,Hooked Protocol,HOOK,"$133.97M$133,965,891",$0.9447,"141,804,295 HOOK *","$5,983,564",-0.70%,1.49%,1.91%
374,DIONEDione Protocol,Dione Protocol,DIONE,"$133.95M$133,946,263",$0.01408,"9,510,863,533 DIONE *","$1,444,433",-0.67%,-4.68%,4.05%
375,PYRVulcan Forged (PYR),Vulcan Forged (),PYR,"$133.46M$133,455,779",$4.75,"28,100,000 PYR *","$5,587,524",-0.25%,2.22%,-3.11%
376,EURSSTASIS EURO,STASIS EURO,EURS,"$133.13M$133,127,435",$1.07,"124,125,940 EURS *","$1,695,388",0.04%,0.10%,0.78%
377,MUBIMultibit,Multibit,MUBI,"$133.08M$133,079,568",$0.1401,"950,000,000 MUBI *","$37,038,672",-0.38%,-3.94%,-22.39%
378,NOIASynternet,Synternet,NOIA,"$132.32M$132,320,305",$0.1814,"729,553,097 NOIA *","$2,186,759",0.29%,6.07%,-14.22%
379,MYRIAMyria,Myria,MYRIA,"$129.03M$129,033,602",$0.007403,"17,429,230,818 MYRIA *","$7,974,088",-1.45%,11.12%,9.50%
380,NYMNYM,,NYM,"$128.92M$128,917,928",$0.1798,"717,197,731 NYM *","$2,466,189",0.05%,-1.08%,-1.67%
381,TRUTrueFi,TrueFi,TRU,"$128.66M$128,661,016",$0.115,"1,119,144,810 TRU *","$9,728,335",-0.98%,-2.83%,-7.20%
382,HASHAIHashAI,HashAI,HASHAI,"$126.19M$126,185,418",$0.001492,"84,564,818,695 HASHAI *","$961,938",1.50%,-0.75%,23.32%
383,SDEXSmarDex,SmarDex,SDEX,"$126.13M$126,134,308",$0.01745,"7,229,356,842 SDEX *","$985,298",0.19%,1.04%,-1.19%
384,NGLEntangle,Entangle,NGL,"$126.02M$126,017,434",$1.15,"109,849,537 NGL *","$2,051,281",-0.62%,-8.98%,-8.22%
385,TNSRTensor,Tensor,TNSR,"$125.99M$125,989,374",$1.01,"125,000,000 TNSR *","$132,594,503",-0.72%,-2.53%,18.59%
386,DAGConstellation,Constellation,DAG,"$125.01M$125,008,388",$0.0435,"2,873,448,318 DAG *","$1,768,917",2.22%,2.64%,-3.98%
387,APEXApeX Protocol,ApeX Protocol,APEX,"$123.3M$123,295,057",$2.67,"46,104,248 APEX *","$59,151,521",-0.08%,-0.50%,3.20%
388,WINWINkLink,kLink,WIN,"$123.28M$123,282,810",$0.0001282,"961,737,300,000 WIN *","$24,847,888",-0.21%,1.02%,5.83%
389,ACEFusionist,Fusionist,ACE,"$123.07M$123,067,599",$5.60,"21,969,520 ACE *","$19,225,691",-0.36%,2.66%,2.42%
390,FORTForta,Forta,FORT,"$122.79M$122,793,253",$0.3162,"388,388,554 FORT *","$8,106,047",-2.08%,-10.10%,36.53%
391,GPUNode AI,Node AI,GPU,"$122.09M$122,094,900",$1.35,"90,264,133 GPU *","$2,567,111",5.28%,-5.26%,-7.12%
392,DKAdKargo,dKargo,DKA,"$121.67M$121,667,218",$0.03274,"3,716,250,000 DKA *","$1,860,399",5.27%,-0.69%,0.84%
393,HFTHashflow,Hashflow,HFT,"$121.38M$121,376,225",$0.3094,"392,271,386 HFT *","$9,025,014",-0.51%,0.42%,0.99%
394,MLKMiL.k,MiL.k,MLK,"$120.83M$120,830,669",$0.3412,"354,144,227 MLK *","$4,445,697",-0.81%,0.71%,2.94%
395,AITECHSolidus Ai Tech,Solidus Ai Tech,AITECH,"$120.11M$120,112,069",$0.2167,"554,235,453 AITECH *","$6,444,484",0.21%,2.94%,2.50%
396,LYXLUKSO,LUKSO,LYX,"$119.17M$119,170,055",$3.90,"30,535,907 LYX *","$245,389",-0.31%,1.00%,1.11%
397,TOKENTokenFi,TokenFi,TOKEN,"$119.05M$119,046,518",$0.119,"1,000,019,789 TOKEN *","$14,379,354",-0.75%,-3.06%,19.09%
398,SCRTSecret,Secret,SCRT,"$119.01M$119,006,742",$0.4386,"271,355,295 SCRT *","$2,570,386",-1.03%,-1.44%,2.99%
399,MOVRMoonriver,Moonriver,MOVR,"$118.65M$118,653,811",$13.28,"8,937,679 MOVR *","$6,341,220",-0.72%,3.03%,5.94%
400,BFICBlockchain Foundation for Innovation & Collaboration,Blockchain Foundation for Innovation & Collaboration,BFIC,"$118.43M$118,427,594",$11.20,"10,578,424 BFIC *","$4,084,983",0.04%,0.45%,-6.56%
401,GNSGains Network,Gains Network,GNS,"$116.53M$116,528,654",$3.47,"33,602,801 GNS *","$4,936,012",-0.33%,2.29%,0.70%
402,NFPNFPrompt,rompt,NFP,"$116.2M$116,201,514",$0.4648,"250,000,000 NFP *","$13,274,901",-0.67%,1.75%,12.65%
403,ORBSOrbs,Orbs,ORBS,"$115.85M$115,848,508",$0.03657,"3,167,720,359 ORBS *","$24,948,480",-0.50%,0.05%,-0.50%
404,LSDL7,L7,LSD,"$115.8M$115,797,058",$2.83,"40,941,582 LSD *","$2,611,041",-7.87%,85.03%,13.48%
405,MBOXMOBOX,MOBOX,MBOX,"$115.06M$115,061,842",$0.3683,"312,455,620 MBOX *","$15,029,195",-0.76%,4.42%,21.08%
406,SOVSovryn,Sovryn,SOV,"$114.72M$114,716,888",$1.92,"59,666,500 SOV *","$133,571",0.06%,-0.74%,-9.48%
407,DODODODO,,DODO,"$114.8M$114,803,845",$0.1868,"614,617,713 DODO *","$10,061,916",-0.83%,-1.52%,21.41%
408,VRVictoria VR,Victoria ,VR,"$114.04M$114,035,507",$0.02137,"5,336,247,368 VR *","$1,419,000",0.46%,5.73%,2.39%
409,AURORAAurora,Aurora,AURORA,"$114.04M$114,044,608",$0.2534,"450,132,372 AURORA *","$2,982,987",-0.75%,0.30%,-4.64%
410,KNCKyber Network Crystal v2,Kyber Network Crystal v2,KNC,"$113.97M$113,974,230",$0.6062,"188,000,307 KNC *","$14,570,369",-0.26%,2.23%,4.91%
411,MTLMetal DAO,Metal DAO,MTL,"$113.3M$113,296,038",$1.70,"66,588,888 MTL *","$44,020,196",-0.63%,4.99%,8.61%
412,GOGGuild of Guardians,Guild of Guardians,GOG,"$113.06M$113,056,934",$0.1985,"569,604,001 GOG *","$1,335,998",-1.06%,-11.42%,-37.66%
413,AUCTIONBounce Token,Bounce Token,AUCTION,"$112.7M$112,700,857",$17.34,"6,500,037 AUCTION *","$16,879,961",-0.78%,-1.02%,-1.02%
414,POLPolygon Ecosystem Token,Polygon Ecosystem Token,POL,"$112.63M$112,634,098",$0.7185,"156,761,382 POL *","$754,081",-0.37%,2.97%,6.18%
415,VELOVelodrome Finance,Velodrome Finance,VELO,"$112.56M$112,559,347",$0.1754,"641,864,657 VELO *","$6,703,392",-0.43%,-2.89%,-8.11%
416,NXRANexera,Nexera,NXRA,"$112.49M$112,486,739",$0.1465,"767,569,007 NXRA *","$857,851",0.58%,3.92%,-13.88%
417,ELONDogelon Mars,Dogelon Mars,ELON,"$112.36M$112,357,446",$0.0...02044,"549,652,770,159,583 ELON *","$2,752,237",-0.57%,-1.09%,1.63%
418,LUSDLiquity USD,Liquity USD,LUSD,"$111.99M$111,990,325",$0.9995,"112,049,427 LUSD *","$2,538,371",0.01%,0.03%,-0.01%
419,CGPTChainGPT,ChainGPT,CGPT,"$111.8M$111,795,845",$0.2588,"432,030,216 CGPT *","$10,062,596",-0.71%,-3.30%,4.72%
420,ATAAutomata Network,Automata Network,ATA,"$111.18M$111,178,823",$0.2276,"488,500,979 ATA *","$56,896,535",1.18%,-9.77%,56.34%
421,STPTSTP,STP,STPT,"$110.59M$110,591,390",$0.05693,"1,942,420,283 STPT *","$3,942,234",-0.80%,-0.01%,6.34%
422,MEDMediBloc,MediBloc,MED,"$110.46M$110,456,774",$0.01333,"8,285,671,092 MED *","$2,395,686",0.09%,-1.99%,0.63%
423,STGStargate Finance,Stargate Finance,STG,"$110.27M$110,270,718",$0.5396,"204,338,417 STG *","$14,492,985",<0.01%,0.24%,3.63%
424,XYOXYO,,XYO,"$110.21M$110,210,177",$0.008178,"13,476,747,692 XYO *","$1,125,649",-1.02%,1.32%,-4.30%
425,ACAAcala Token,Acala Token,ACA,"$110.02M$110,021,105",$0.1143,"962,499,997 ACA *","$4,825,445",-0.46%,0.51%,3.91%
426,CUDOSCUDOS,,CUDOS,"$109.37M$109,374,870",$0.01872,"5,843,157,717 CUDOS *","$988,168",-0.33%,13.79%,6.57%
427,ERGErgo,Ergo,ERG,"$108.53M$108,533,163",$1.45,"74,854,803 ERG","$314,272",0.20%,-1.64%,-10.27%
428,OXTOrchid,Orchid,OXT,"$108.28M$108,283,534",$0.1105,"979,779,108 OXT *","$3,969,520",-0.88%,1.64%,3.19%
429,ankrETHAnkr Staked ETH,Ankr Staked ETH,ankrETH,"$106.88M$106,880,229","$3,644.06","29,330 ankrETH *","$45,981",0.38%,0.10%,3.47%
430,LOOMLoom Network,Loom Network,LOOM,"$106.67M$106,669,280",$0.08713,"1,224,270,898 LOOM *","$22,623,282",-0.68%,6.17%,11.88%
431,ARDRArdor,Ardor,ARDR,"$106.53M$106,531,338",$0.1066,"998,999,495 ARDR *","$12,212,345",-0.34%,-1.72%,3.51%
432,LQTYLiquity,Liquity,LQTY,"$105.54M$105,539,725",$1.10,"95,642,610 LQTY *","$31,666,923",-0.57%,6.53%,7.75%
433,LEVERLeverFi,LeverFi,LEVER,"$105.91M$105,911,938",$0.003587,"29,527,520,956 LEVER *","$47,142,102",-0.71%,10.51%,46.69%
434,MAPOMAP Protocol,MAP Protocol,MAPO,"$104.86M$104,862,695",$0.0239,"4,387,467,170 MAPO *","$4,104,253",-0.15%,-2.56%,-4.60%
435,ALPHAStella,Stella,ALPHA,"$104.79M$104,789,418",$0.1204,"870,000,000 ALPHA *","$8,633,946",-0.53%,1.58%,4.76%
436,LOOKSLooksRare,LooksRare,LOOKS,"$104.6M$104,601,308",$0.1046,"999,941,673 LOOKS *","$7,028,779",-0.47%,-3.17%,-3.06%
437,RDNTRadiant Capital,Radiant Capital,RDNT,"$103.38M$103,384,774",$0.2097,"492,938,137 RDNT *","$19,968,556",-0.30%,0.74%,0.87%
438,OZOOzone Chain,Ozone Chain,OZO,"$102.74M$102,744,310",$0.2351,"437,088,875 OZO *","$237,053",-0.45%,0.32%,-0.93%
439,LONTokenlon Network Token,Tokenlon Network Token,LON,"$102.07M$102,073,453",$0.8971,"113,787,695 LON *","$790,456",0.08%,0.13%,0.96%
440,MAVMaverick Protocol,Maverick Protocol,MAV,"$101.98M$101,975,790",$0.4079,"250,000,000 MAV *","$6,778,303",-0.59%,-1.45%,8.56%
441,SPELLSpell Token,Spell Token,SPELL,"$101.12M$101,115,083",$0.0009414,"107,405,628,969 SPELL *","$16,217,518",-0.07%,3.87%,10.61%
442,PORKPepeFork,PepeFork,PORK,"$100.51M$100,511,137",$0.0...02389,"420,690,000,000,000 PORK *","$4,259,150",1.12%,9.43%,40.46%
443,HIFIHifi Finance,Hifi Finance,HIFI,"$99.83M$99,828,869",$0.8067,"123,753,758 HIFI *","$15,518,824",-1.20%,3.17%,1.01%
444,ERNEthernity,Ethernity,ERN,"$99.75M$99,754,787",$4.85,"20,577,762 ERN *","$11,010,747",-0.11%,3.35%,7.96%
445,GUSDGemini Dollar,Gemini Dollar,GUSD,"$99.09M$99,089,039",$0.9995,"99,139,397 GUSD *","$1,283,272",<0.01%,-0.01%,-0.22%
446,ZKPolyhedra Network,Polyhedra Network,ZK,"$98.9M$98,903,842",$1.64,"60,383,487 ZK *","$11,970,027",-0.68%,2.28%,-8.63%
447,GFIGoldfinch,Goldfinch,GFI,"$98.65M$98,648,553",$3.39,"29,135,286 GFI *","$5,892,630",-3.64%,-4.06%,-8.76%
448,TRIASTrias Token (New),Trias Token (New),TRIAS,"$98.42M$98,420,895",$10.01,"9,832,507 TRIAS *","$1,515,634",0.48%,6.74%,14.79%
449,CTKShentu,Shentu,CTK,"$98.3M$98,300,876",$0.7359,"133,576,990 CTK *","$1,379,125",-0.53%,2.01%,5.75%
450,TETTectum,Tectum,TET,"$97.99M$97,991,255",$19.67,"4,981,934 TET *","$1,354,740",-0.46%,1.69%,-3.51%
451,TONTokamak Network,Tokamak Network,TON,"$97.11M$97,111,966",$2.22,"43,841,454 TON *","$2,136,551",-1.89%,-7.03%,-6.35%
452,GHSTAavegotchi,Aavegotchi,GHST,"$96.76M$96,756,643",$1.83,"52,747,801 GHST *","$4,027,166",-0.40%,0.83%,-9.48%
453,MBXMARBLEX,MARBLEX,MBX,"$96.39M$96,393,524",$0.8141,"118,398,792 MBX *","$2,637,427",-0.09%,-0.55%,5.50%
454,CROWNCrown by Third Time Games,Crown by Third Time Games,CROWN,"$96.2M$96,203,811",$1.00,"96,164,596 CROWN *","$1,190,941",-0.87%,-0.43%,-3.67%
455,COSContentos,Contentos,COS,"$95.58M$95,584,019",$0.01869,"5,114,004,014 COS *","$115,707,731",1.07%,-4.16%,60.72%
456,XVGVerge,Verge,XVG,"$95.28M$95,283,609",$0.005767,"16,521,951,236 XVG","$9,018,160",-0.34%,0.39%,2.62%
457,ADFArt de Finance,Art de Finance,ADF,"$95.04M$95,042,824",$0.6331,"150,125,746 ADF *","$41,391,548",9.63%,8.71%,-16.44%
458,NKNNKN,,NKN,"$94.4M$94,398,507",$0.1251,"754,831,362 NKN","$4,735,292",-0.59%,0.31%,2.56%
459,OMGOMG Network, Network,OMG,"$93.74M$93,740,093",$0.6684,"140,245,398 OMG *","$15,625,407",-0.46%,1.28%,2.96%
460,BNTBancor,Bancor,BNT,"$93.02M$93,017,227",$0.7174,"129,662,082 BNT *","$6,866,538",-0.67%,-0.43%,2.48%
461,RARIRARI,,RARI,"$92.39M$92,389,648",$3.88,"23,834,553 RARI *","$1,309,270",2.78%,3.08%,-3.58%
462,RADRadworks,Radworks,RAD,"$92.31M$92,313,208",$1.79,"51,622,094 RAD *","$5,725,388",-0.72%,1.63%,2.83%
463,QKCQuarkChain,QuarkChain,QKC,"$91.81M$91,811,035",$0.01315,"6,983,766,941 QKC *","$7,600,123",-0.47%,-3.61%,9.55%
464,USDXUSDX [Kava], [Kava],USDX,"$91.79M$91,794,574",$0.8228,"111,567,264 USDX *","$307,240",-0.20%,0.58%,-0.18%
465,AGLDAdventure Gold,Adventure Gold,AGLD,"$91.53M$91,533,840",$1.18,"77,310,001 AGLD *","$8,023,444",-1.17%,1.18%,5.72%
466,POLYPolymath,Polymath,POLY,"$91.26M$91,258,337",$0.09866,"924,998,413 POLY *","$16,212",0.02%,21.61%,19.42%
467,GHXGamerCoin,GamerCoin,GHX,"$91.15M$91,150,063",$0.1402,"649,965,123 GHX *","$3,183,376",-0.42%,1.69%,-11.20%
468,DARMines of Dalarnia,Mines of Dalarnia,DAR,"$90.97M$90,971,399",$0.1632,"557,257,797 DAR *","$11,494,398",-0.74%,1.46%,6.25%
469,OGNOrigin Protocol,Origin Protocol,OGN,"$90.87M$90,869,462",$0.1585,"573,135,902 OGN *","$14,211,488",-0.91%,1.16%,3.79%
470,WRXWazirX,WazirX,WRX,"$90.55M$90,545,730",$0.2371,"381,856,872 WRX *","$2,859,406",-0.43%,1.00%,8.25%
471,BMXBitMart Token,BitMart Token,BMX,"$90.47M$90,472,999",$0.279,"324,281,616 BMX *","$475,744",0.18%,-15.56%,-15.67%
472,BFCBifrost,Bifrost,BFC,"$89.91M$89,910,548",$0.06484,"1,386,638,564 BFC *","$509,226",<0.01%,-5.58%,-6.60%
473,ARPAARPA,,ARPA,"$89.53M$89,532,459",$0.07204,"1,242,888,889 ARPA *","$10,559,963",-0.71%,0.89%,2.45%
474,BZRBazaars,Bazaars,BZR,"$88.57M$88,571,508",$7.59,"11,672,346 BZR *","$138,811",-0.18%,1.24%,2.98%
475,PHBPhoenix,Phoenix,PHB,"$88.25M$88,246,233",$1.79,"49,180,406 PHB *","$7,967,838",-0.24%,0.64%,-1.56%
476,ALICEMyNeighborAlice,MyNeighborAlice,ALICE,"$88.09M$88,085,560",$1.30,"67,913,333 ALICE *","$10,167,407",-0.55%,1.25%,4.28%
477,ARRRPirate Chain,Pirate Chain,ARRR,"$87.79M$87,785,630",$0.4474,"196,213,798 ARRR","$234,816",-4.84%,11.81%,6.92%
478,XPLAXPLA,,XPLA,"$87.73M$87,729,060",$0.1638,"535,552,178 XPLA *","$875,325",0.34%,-5.58%,0.11%
479,RACARACA,,RACA,"$87.16M$87,158,685",$0.0002466,"353,444,937,014 RACA *","$9,891,598",-0.50%,-0.30%,-1.03%
480,GAFIGameFi.org,GameFi.org,GAFI,"$86.6M$86,600,981",$7.91,"10,945,063 GAFI *","$548,178",-0.17%,3.36%,1.76%
481,PNGPangolin,Pangolin,PNG,"$86.6M$86,602,069",$0.4001,"216,443,834 PNG *","$1,155,368",-1.02%,1.99%,-0.06%
482,RARESuperRare,SuperRare,RARE,"$86.41M$86,414,437",$0.1245,"694,087,205 RARE *","$2,817,953",-0.46%,0.65%,1.57%
483,ACSAccess Protocol,Access Protocol,ACS,"$85.99M$85,988,557",$0.002467,"34,861,502,929 ACS *","$2,480,936",-0.19%,-0.90%,1.29%
484,CREAMCream Finance,Cream Finance,CREAM,"$85.61M$85,609,084",$46.13,"1,855,659 CREAM *","$4,751,524",-0.58%,-3.23%,-5.94%
485,SNEKSnek,Snek,SNEK,"$85.59M$85,591,314",$0.001169,"73,235,343,051 SNEK *","$2,826,634",-0.54%,3.71%,22.26%
486,MBLMovieBloc,MovieBloc,MBL,"$85.43M$85,426,575",$0.004872,"17,535,220,550 MBL *","$10,183,801",-0.46%,1.11%,8.84%
487,BADGERBadger DAO,Badger DAO,BADGER,"$85.22M$85,220,914",$4.43,"19,243,579 BADGER *","$6,508,502",-0.79%,1.13%,2.21%
488,WNXMWrapped NXM,Wrapped NXM,WNXM,"$84.54M$84,539,752",$66.12,"1,278,534 WNXM *","$34,893,229",0.97%,1.22%,2.46%
489,HPOHippocrat,Hippocrat,HPO,"$83.55M$83,545,149",$0.0841,"993,409,273 HPO *","$849,988",-1.45%,-1.46%,2.36%
490,BITCOINHarryPotterObamaSonic10Inu (ERC-20),HarryPotterObamaSonic10Inu (ERC-20),BITCOIN,"$81.92M$81,915,497",$0.08193,"999,798,155 BITCOIN *","$4,418,976",-1.47%,-12.93%,-4.56%
491,FRONTFrontier,Frontier,FRONT,"$81.84M$81,837,357",$0.9093,"90,000,000 FRONT *","$22,744,978",-1.32%,9.90%,26.45%
492,HTHuobi Token,Huobi Token,HT,"$97.32M$97,319,669",$0.5999,"162,233,844 HT *","$995,447",0.05%,3.53%,-3.77%
493,GTCGitcoin,Gitcoin,GTC,"$81.36M$81,363,918",$1.23,"66,291,054 GTC *","$7,108,705",-0.57%,0.55%,2.63%
494,REIREI Network, Network,REI,"$80.87M$80,872,691",$0.08513,"950,000,000 REI *","$15,215,875",-0.26%,-0.21%,19.51%
495,LTOLTO Network, Network,LTO,"$80.76M$80,762,256",$0.189,"427,213,219 LTO *","$3,793,366",-0.67%,-2.57%,-4.40%
496,BOSONBoson Protocol,Boson Protocol,BOSON,"$79.42M$79,416,810",$0.6336,"125,335,030 BOSON *","$1,860,055",-0.23%,8.94%,19.47%
497,STMXStormX,StormX,STMX,"$79.42M$79,421,202",$0.007942,"10,000,000,000 STMX *","$10,896,489",-0.98%,2.25%,9.35%
498,LMWRLimeWire,LimeWire,LMWR,"$79.16M$79,164,814",$1.17,"67,406,597 LMWR *","$4,046,145",-0.59%,-4.15%,11.31%
499,TKOToko Token,Toko Token,TKO,"$78.75M$78,753,037",$0.4648,"169,427,916 TKO *","$3,216,573",-1.37%,2.14%,14.06%
500,POLSPolkastarter,Polkastarter,POLS,"$78.68M$78,680,066",$0.793,"99,221,432 POLS *","$3,768,040",-0.43%,-1.94%,-2.69%
501,BANANABanana Gun,Banana Gun,BANANA,"$78M$77,995,434",$30.07,"2,593,617 BANANA *","$2,872,135",-0.16%,-1.91%,-9.97%
502,CPOOLClearpool,Clearpool,CPOOL,"$77.41M$77,408,426",$0.1709,"453,041,616 CPOOL *","$2,221,269",-1.17%,-2.74%,-5.27%
503,QIBENQI,BEN,QI,"$77.01M$77,008,170",$0.01713,"4,496,597,431 QI *","$5,708,629",-1.32%,-6.73%,1.72%
504,ATLASStar Atlas,Star Atlas,ATLAS,"$76.52M$76,520,836",$0.004869,"15,715,989,467 ATLAS *","$2,208,896",-0.45%,-1.87%,-4.54%
505,ELAElastos,Elastos,ELA,"$76.09M$76,093,935",$3.46,"22,011,519 ELA","$412,911",-0.08%,3.22%,-4.14%
506,DMTRDimitra,Dimitra,DMTR,"$75.97M$75,965,739",$0.1561,"486,503,182 DMTR *","$719,113",0.31%,-0.23%,-1.19%
507,STIKStaika,Staika,STIK,"$75.79M$75,786,725",$2.63,"28,807,734 STIK *","$1,388,070",-0.10%,0.37%,1.25%
508,BAKEBakeryToken,BakeryToken,BAKE,"$75.59M$75,594,387",$0.2609,"289,770,512 BAKE *","$16,146,350",-0.29%,1.97%,9.09%
509,MEMEMEMETOON,TOON,MEME,"$75.55M$75,554,483",$0.01342,"5,631,405,859 MEME *","$6,701,484",-0.30%,-1.30%,-2.19%
510,AIDOGEArbDoge AI,ArbDoge AI,AIDOGE,"$75.52M$75,519,992",$0.0...04329,"174,455,896,934,211,000 AIDOGE *","$12,384,588",-1.84%,0.65%,3.66%
511,ETNElectroneum,Electroneum,ETN,"$74.54M$74,541,425",$0.004148,"17,970,588,755 ETN","$1,324,521",-1.02%,-5.09%,-27.67%
512,NULSNULS,,NULS,"$74.16M$74,159,958",$0.6848,"108,301,268 NULS","$36,434,054",0.21%,-1.97%,1.64%
513,VICViction,Viction,VIC,"$73.94M$73,943,719",$0.7636,"96,830,754 VIC *","$4,897,580",-0.55%,1.95%,2.31%
514,MPLXMetaplex,Metaplex,MPLX,"$73.78M$73,784,574",$0.2966,"248,745,041 MPLX *","$1,787,654",0.32%,2.71%,23.13%
515,DORADora Factory,Dora Factory,DORA,"$73.64M$73,641,265",$0.1371,"537,277,116 DORA *","$316,990",-0.74%,-0.89%,3.41%
516,KWDKWD,,KWD,"$73.56M$73,564,214",$0.6874,"107,024,222 KWD *",$?,0.00%,0.00%,-0.09%
517,SIDUSSIDUS,,SIDUS,"$73.34M$73,338,432",$0.007838,"9,356,868,845 SIDUS *","$1,592,214",0.10%,-9.12%,-10.31%
518,AGRSAgoras: Currency of Tau,Agoras: Currency of Tau,AGRS,"$72.42M$72,417,853",$4.02,"18,000,000 AGRS *","$244,002",-0.03%,4.01%,10.68%
519,METAMetadium,Metadium,META,"$72.04M$72,038,050",$0.04229,"1,703,608,720 META *","$4,502,750",-0.01%,-0.98%,3.54%
520,VAIVAIOT,OT,VAI,"$71.9M$71,902,616",$0.2231,"322,295,875 VAI *","$1,198,906",0.02%,8.20%,0.58%
521,ALIArtificial Liquid Intelligence,Artificial Liquid Intelligence,ALI,"$71.73M$71,727,339",$0.01999,"3,588,163,660 ALI *","$1,719,897",-0.05%,-3.67%,-3.43%
522,TLMAlien Worlds,Alien Worlds,TLM,"$71.62M$71,621,141",$0.01737,"4,122,646,683 TLM *","$7,087,638",-0.60%,2.68%,8.69%
523,DEXTDEXTools,ools,DEXT,"$71.5M$71,495,733",$0.8771,"81,511,768 DEXT *","$76,534",1.12%,3.05%,4.68%
524,PERPPerpetual Protocol,Perpetual Protocol,PERP,"$71.02M$71,021,546",$1.08,"66,002,157 PERP *","$6,906,487",-0.88%,0.84%,2.58%
525,XCHNGChainge,Chainge,XCHNG,"$70.85M$70,854,338",$0.1495,"474,046,128 XCHNG *","$2,162,409",-5.45%,-4.94%,-18.33%
526,CTXCCortex,Cortex,CTXC,"$70.85M$70,848,515",$0.3215,"220,374,521 CTXC","$6,911,381",-1.10%,-0.85%,5.65%
527,BUSDBUSD,,BUSD,"$70.56M$70,561,920",$1.00,"70,511,448 BUSD *","$15,945,202",0.00%,-0.04%,-0.03%
528,FORTHAmpleforth Governance Token,Ampleforth Governance Token,FORTH,"$70M$69,997,275",$4.67,"14,997,390 FORTH *","$3,357,292",-0.41%,3.23%,9.26%
529,EWTEnergy Web Token,Energy Web Token,EWT,"$69.63M$69,631,159",$2.32,"30,062,138 EWT *","$1,728,465",0.28%,4.99%,13.34%
530,BOBABoba Network,Boba Network,BOBA,"$69.23M$69,230,059",$0.4034,"171,624,232 BOBA *","$7,461,326",-0.64%,3.21%,-6.73%
531,PONKEPonke,Ponke,PONKE,"$68.53M$68,526,367",$0.1594,"429,777,374 PONKE *","$14,872,262",-5.52%,14.06%,-9.60%
532,GODSGods Unchained,Gods Unchained,GODS,"$68.19M$68,185,025",$0.2389,"285,416,667 GODS *","$5,764,916",-0.75%,0.74%,10.43%
533,CBKCobak Token,Cobak Token,CBK,"$67.8M$67,795,132",$0.8094,"83,756,929 CBK *","$3,128,095",0.49%,0.16%,3.24%
534,BRISEBitgert,Bitgert,BRISE,"$67.4M$67,402,230",$0.0...01703,"395,688,215,721,653 BRISE *","$1,844,076",-0.16%,-0.37%,-1.25%
535,EVEREverscale,Everscale,EVER,"$67.1M$67,103,886",$0.03415,"1,964,924,208 EVER *","$856,884",0.11%,-3.49%,-21.85%
536,CLVCLV,,CLV,"$66.44M$66,436,997",$0.08266,"803,717,460 CLV *","$10,023,842",-0.65%,0.61%,8.88%
537,POLISStar Atlas DAO,Star Atlas DAO,POLIS,"$66.06M$66,056,309",$0.2655,"248,789,492 POLIS *","$617,482",-0.12%,-3.90%,-12.66%
538,FXFunction X,Function X,FX,"$65.87M$65,867,459",$0.1612,"408,520,357 FX *","$371,494",-0.31%,-4.32%,4.85%
539,DATAStreamr,Streamr,DATA,"$65.81M$65,813,583",$0.06398,"1,028,693,853 DATA *","$2,048,964",-0.29%,-0.32%,11.60%
